t,x,v
0.0,0.006094341595088627,-0.020799682124809912
0.02002002002002002,0.015012366957653775,0.019312262361208622
0.04004004004004004,-0.03899396140323347,-0.024040119579139554
0.06006006006006006,0.0026470460529622883,-0.001818548656045302
0.08008008008008008,-0.00012218603051298546,-0.009053419302704561
0.10010010010010009,0.018005460049189587,0.02805996985683798
0.12012012012012012,0.0020417367219240853,0.04053753629763154
0.14014014014014015,0.01049470622606474,0.007282948972290107
0.16016016016016016,0.009082425672288789,0.012749539010247918
0.18018018018018017,0.019998406837911466,0.039363382691345136
0.20020020020020018,-0.0003672749966197831,0.03614755936932373
0.22022022022022023,0.02887928627792674,0.057041788582978335
0.24024024024024024,-0.002822517427615999,0.06440957354873338
0.2602602602602603,0.017941897295737044,0.09102551618423707
0.2802802802802803,0.017356946078173834,0.10553208677066797
0.3003003003003003,0.054015338925901955,0.10291039387568555
0.3203203203203203,0.0033095234639224785,0.10979886137237072
0.34034034034034033,0.028556004980794192,0.1645898267829265
0.36036036036036034,0.016967453313196712,0.14203086623090283
0.38038038038038036,0.0061123441052872325,0.18954338941524565
0.40040040040040037,0.04118555171091839,0.20595172629991082
0.42042042042042044,0.01710876718638055,0.2191334733618929
0.44044044044044045,0.03724791297948392,0.2390943448875193
0.46046046046046046,0.05725117845731738,0.2602350517699612
0.4804804804804805,0.05873854068392313,0.2789523658706719
0.5005005005005005,0.05672532406156844,0.31284142360861783
0.5205205205205206,0.02804286338966581,0.31719582731588697
0.5405405405405406,0.05449694514953241,0.33492483708049825
0.5605605605605606,0.06560995551560499,0.4024340982827569
0.5805805805805806,0.06150877003247261,0.41743300644789516
0.6006006006006006,0.05339856739995267,0.4175801290397004
0.6206206206206206,0.09907293633536464,0.4628692142556369
0.6406406406406406,0.11934858214942981,0.49451292995993607
0.6606606606606606,0.10801245820486105,0.4975115970081435
0.6806806806806807,0.14257812825706723,0.5316332063497333
0.7007007007007007,0.11091680911780084,0.5420582526316046
0.7207207207207207,0.12964473674092275,0.6044714518958966
0.7407407407407407,0.1630874183927774,0.638656688932323
0.7607607607607607,0.16451089097078309,0.6588254877544755
0.7807807807807807,0.19900624096317882,0.6807384105016441
0.8008008008008007,0.2096988795338524,0.7053938977860508
0.8208208208208209,0.20801015946333962,0.7431141954257542
0.8408408408408409,0.2067091494908114,0.7929869884779683
0.8608608608608609,0.23724681649859014,0.8163502181893517
0.8808808808808809,0.2729197410000982,0.858209720692756
0.9009009009009009,0.29394971862855507,0.8807854715233394
0.9209209209209209,0.2901861852162151,0.9149052097472125
0.9409409409409409,0.28359360191622973,0.9215406549188476
0.960960960960961,0.3102569289537542,0.9647305235920535
0.980980980980981,0.364763416109645,1.0009376303457889
1.001001001001001,0.3699513546939842,1.079552392377302
1.021021021021021,0.39182833916161325,1.1029569987962973
1.0410410410410411,0.40241467479720394,1.1188241644200754
1.0610610610610611,0.424915831767793,1.1509347260157483
1.0810810810810811,0.4842483276806698,1.1579763429339893
1.1011011011011012,0.5003533601776897,1.2320781633922087
1.1211211211211212,0.5047009897527097,1.233164590025776
1.1411411411411412,0.5436409720452693,1.2861878745238242
1.1611611611611612,0.5731598622586305,1.3318043829736823
1.1811811811811812,0.6275410634994397,1.3610352901404066
1.2012012012012012,0.6027228585248846,1.40369614143006
1.2212212212212212,0.6559645756987041,1.4613833943809937
1.2412412412412412,0.6973188985504916,1.4751944312836502
1.2612612612612613,0.7396099987168963,1.4778749864742469
1.2812812812812813,0.7279457996106644,1.5164153269787506
1.3013013013013013,0.7640048814092412,1.5403805735309661
1.3213213213213213,0.8162207870328131,1.5960756537938228
1.3413413413413413,0.8064672110790662,1.6124202408214992
1.3613613613613613,0.8751598464104836,1.6812795757032986
1.3813813813813813,0.9424622219081764,1.754120708652144
1.4014014014014013,0.9450761216498685,1.7068880875802552
1.4214214214214214,0.9290194778741168,1.7623453485976426
1.4414414414414414,0.9908754012713656,1.7784411723157867
1.4614614614614614,1.0309560255745298,1.8131028359403802
1.4814814814814814,1.101159156386302,1.8476114897307088
1.5015015015015014,1.113873600958175,1.8516594362487464
1.5215215215215214,1.121311218356817,1.889867296412814
1.5415415415415414,1.1920256937354115,1.9614610112325717
1.5615615615615615,1.2345266290564023,1.9715235102410988
1.5815815815815815,1.2612631755390618,1.9531631203161708
1.6016016016016015,1.2917670779094195,1.9865476412667888
1.6216216216216217,1.393935132689618,2.0079817376134765
1.6416416416416417,1.4088908788302592,2.028845977122256
1.6616616616616617,1.4519493898441544,2.076207292011749
1.6816816816816818,1.4718053517150966,2.0883768238712284
1.7017017017017018,1.503867181614081,2.117849126029887
1.7217217217217218,1.5502734760448142,2.103175157679495
1.7417417417417418,1.5765901718416528,2.1488952254958615
1.7617617617617618,1.6768517366667448,2.1653691835146907
1.7817817817817818,1.6863424524759432,2.1835550131810715
1.8018018018018018,1.7585834619894154,2.1968125980864857
1.8218218218218218,1.768274061545743,2.2280290836235883
1.8418418418418419,1.829355452083131,2.248963813765641
1.8618618618618619,1.8689683388455345,2.2049473924251672
1.8818818818818819,1.88267599460247,2.2724623512199504
1.901901901901902,1.989436347213776,2.2446562019543794
1.921921921921922,1.9923871293551414,2.2850514769699615
1.941941941941942,2.023137012209015,2.244255328388999
1.961961961961962,2.103485507145416,2.259315017256142
1.981981981981982,2.135945939989684,2.2677048387983847
2.002002002002002,2.188291593130822,2.301579261700698
2.022022022022022,2.2288794126895923,2.2874343904032797
2.042042042042042,2.231600959590714,2.2733587090068728
2.062062062062062,2.3012583779697247,2.2483678771336
2.0820820820820822,2.3460328866176785,2.263089187873491
