t,x,v
0.0,1.0060943415950887,-0.020799682124809912
0.025025025025025027,1.0143296337725178,-0.0351030691459356
0.05005005005005005,0.9583003498796095,-0.1315383541309867
0.07507507507507508,0.9966175049183011,-0.1609899216189759
0.1001001001001001,0.9892647448691847,-0.21841381557739925
0.12512512512512514,1.001592210910877,-0.22993416495469954
0.15015015015015015,0.9786564098598922,-0.26446722773361986
0.1751751751751752,0.9790117852165128,-0.34304503827760535
0.2002002002002002,0.9684243197087922,-0.38115364752184766
0.22522522522522523,0.9691368882019578,-0.3963102069550149
0.2502502502502503,0.9375902713023978,-0.43943884665459376
0.2752752752752753,0.9547303110506744,-0.4565511875532054
0.3003003003003003,0.9100494646304803,-0.4852393178758684
0.3253253253253253,0.917016387897448,-0.49268860688919297
0.3503503503503504,0.9018704741161889,-0.5102210394161163
0.3753753753753754,0.9232601849416695,-0.5428245516329736
0.4004004004004004,0.8566343868330679,-0.5638344408195756
0.42542542542542544,0.8653665385617991,-0.5348368499433888
0.45045045045045046,0.8367266822955587,-0.5810675088840613
0.47547547547547553,0.8083409537965012,-0.5550932002370972
0.5005005005005005,0.8254620543809482,-0.5580827172273873
0.5255255255255256,0.7830695343837545,-0.5621565532578309
0.5505505505505506,0.7845870886752978,-0.5573120758826661
0.5755755755755756,0.7857204534286358,-0.5491566562542455
0.6006006006006006,0.7681468078944137,-0.5413066100058466
0.6256256256256256,0.7469381983371296,-0.5161848767858612
0.6506506506506506,0.6989820765055613,-0.5185208990015896
0.6756756756756758,0.7061396137254409,-0.505433392630725
0.7007007007007008,0.6979877212402976,-0.44054957283309204
0.7257257257257258,0.6747068164011304,-0.4261977293607869
0.7507507507507508,0.6475545134074523,-0.4247617350289624
0.7757757757757758,0.6743756083665862,-0.3762949523368645
0.8008008008008008,0.6760366672023247,-0.3396364020884685
0.8258258258258259,0.6463730433941335,-0.32984192548961483
0.8508508508508509,0.6629451208096346,-0.2872040453956275
0.8758758758758759,0.6136692551265719,-0.2666070149453731
0.9009009009009009,0.615205023811979,-0.1924349501697888
0.9259259259259259,0.6319193821620713,-0.14497674508471226
0.9509509509509511,0.6171178182628678,-0.11009743479103701
0.9759759759759761,0.6359287802012795,-0.07211663475690097
1.001001001001001,0.6315128578588513,-0.030119516621691295
1.026026026026026,0.6153243177326092,0.026129296077809446
1.0510510510510511,0.6001627912315183,0.09562756745913614
1.0760760760760761,0.6175073845847421,0.1396204591535074
1.1011011011011012,0.640680322203349,0.20301838512338072
1.1261261261261262,0.6499264810159849,0.24794347451262072
1.1511511511511512,0.6351157587931622,0.30512341521030684
1.1761761761761762,0.6182304028756685,0.3354279062927381
1.2012012012012012,0.635370436419464,0.40279190912832596
1.2262262262262262,0.681135406959113,0.46357298935789654
1.2512512512512513,0.6783731034465174,0.5670550655542655
1.2762762762762763,0.693097785549792,0.6155128345110039
1.3013013013013013,0.6973335717011667,0.6565107720378457
1.3263263263263263,0.7142868737889645,0.7137209840372251
1.3513513513513515,0.7688722708095874,0.7457221789717797
1.3763763763763766,0.7810261368987532,0.8445345707940566
1.4014014014014016,0.7822108292411429,0.8699739338482335
1.4264264264264266,0.8187655268962422,0.9468844274901859
1.4514514514514516,0.8466633542530232,1.0158151582102037
1.4764764764764766,0.9001714520743869,1.067681098225836
1.5015015015015016,0.8752090352899995,1.1321929299608997
1.5265265265265267,0.929013601875251,1.2108438467970024
1.5515515515515517,0.9716132762839582,1.244629790223921
1.5765765765765767,1.0158050003890056,1.2661971725966101
1.6016016016016017,1.0066668451928449,1.3224392638412295
1.6266266266266267,1.0458449815527735,1.3628267818710469
1.6516516516516517,1.1017380534710186,1.4335730682905063
1.6766766766766767,1.0961824367142392,1.4635092667670837
1.7017017017017018,1.1695541740868882,1.544415374742695
1.7267267267267268,1.2419748848503867,1.6276766835367142
1.7517517517517518,1.250102289271034,1.589159611019312
