t,x1,x2
0.0,0.0030471707975443137,-0.010399841062404956
0.02002002002002002,-0.016012111058551826,0.029425667183932157
0.04004004004004004,-0.06550333032191454,0.027018244971416867
0.06006006006006006,-0.06611281335413598,0.05689763413662426
0.08008008008008008,-0.08784205804223341,0.07154964080434434
0.10010010010010009,-0.09801076066053722,0.10787801945438957
0.12012012012012012,-0.124086906518831,0.13139253218980046
0.14014014014014015,-0.1367909852768906,0.1315472155113078
0.16016016016016016,-0.15323923528312958,0.15057133415187024
0.18018018018018017,-0.1623109274172309,0.17968092107031763
0.20020020020020018,-0.18578785440180837,0.19339090475616078
0.22022022022022023,-0.18320075497216742,0.21867492539953223
0.24024024024024024,-0.20980855953431393,0.23671890473535798
0.2602602602602603,-0.20888357381500178,0.2639147009039011
0.2802802802802803,-0.21731416865193776,0.2845884903103591
0.3003003003003003,-0.20578562422928104,0.29623615013645416
0.3203203203203203,-0.23658444721842273,0.31218259303784157
0.34034034034034033,-0.22803627559925194,0.3516300632675493
0.36036036036036034,-0.23651982416480646,0.35195879559073506
0.38038038038038036,-0.24323711645011878,0.38688630825862735
0.40040040040040037,-0.22557822295120533,0.40583194308345233
0.42042042042042044,-0.23607111629869623,0.4227420336510877
0.44044044044044045,-0.2230229775532752,0.4426273264077306
0.46046046046046046,-0.20860118792568053,0.46269641594820726
0.4804804804804805,-0.20198862383052346,0.4811562711753694
0.5005005005005005,-0.19567189711297092,0.506813382758886
0.5205205205205206,-0.20123107206303895,0.5173238083569477
0.5405405405405406,-0.17776043973424455,0.5341517620581072
0.5605605605605606,-0.16049746399012693,0.5755099736729046
0.5805805805805806,-0.14937887090935373,0.5902633641264954
0.6006006006006006,-0.13880375715335302,0.5972517503007428
0.6206206206206206,-0.09987856276417774,0.6264828439342135
0.6406406406406406,-0.07219971036544248,0.64857411299264
0.6606606606606606,-0.05888004955314799,0.6560371427340149
0.6806806806806807,-0.021170700003063522,0.6787676374318645
0.7007007007007007,-0.015145526115008197,0.6893678285606659
0.7207207207207207,0.017492534087166164,0.7256923281612583
0.7407407407407407,0.05889360060956005,0.7476455942814185
0.7607607607607607,0.08567648714585055,0.7623461576715278
0.7807807807807807,0.13037095717129465,0.7776873153835784
0.8008008008008007,0.1645223565379741,0.7941815413901342
0.8208208208208209,0.19382245275547852,0.8170034418808376
0.8408408408408409,0.22463532898041425,0.8457105656486968
0.8608608608608609,0.2726644806433142,0.8609858020481379
0.8808808808808809,0.3245346796767916,0.8853461926411803
0.9009009009009009,0.37033181256582304,0.8999160460558067
0.9209209209209209,0.4049540888238024,0.9201237388118569
0.9409409409409409,0.43935579109085415,0.9264698162167101
0.960960960960961,0.4915500287199405,0.9509884926849462
0.980980980980981,0.5587996373300081,0.9719261904273805
1.001001001001001,0.6024915917441033,1.0139932839788617
1.021021021021021,0.6555961691834422,1.028396176705692
1.0410410410410411,0.7040886936887739,1.0389866654623647
1.0610610610610611,0.7595358286217032,1.0576707303020556
1.0810810810810811,0.8343585202401178,1.0638078768491577
1.1011011011011012,0.8884888299445406,1.1034784571244238
1.1211211211211212,0.9376221150759099,1.1066605425772367
1.1411411411411412,1.004892450021815,1.1358462140505032
1.1611611611611612,1.0682512865854972,1.1613796826163956
1.1811811811811812,1.1447974936575214,1.178787624906451
1.2012012012012012,1.1824563798177397,1.2029939575507644
1.2212212212212212,1.2598128762816454,1.2348130969736255
1.2412412412412412,1.331847707340747,1.2448099518327362
1.2612612612612613,1.404926575726158,1.2493736307180328
1.2812812812812813,1.4515563265009734,1.272015521867226
1.3013013013013013,1.5225284028942827,1.2875344398257382
1.3213213213213213,1.6020111038198153,1.3190990943503336
1.3413413413413413,1.6508922056305781,1.3311855505292658
1.3613613613613613,1.7393300108613665,1.369742627040305
1.3813813813813813,1.8273563104922208,1.4105200060414547
1.4014014014014013,1.8832715953442662,1.3915060202010827
1.4214214214214214,1.9300341103753451,1.4240985360448597
1.4414414414414414,2.0158844049479105,1.4372878688396444
1.4614614614614614,2.0909273824244448,1.4600535525972975
1.4814814814814814,2.1810606818727853,1.4830519671559348
1.5015015015015014,2.2424273399237977,1.4911449639732433
1.5215215215215214,2.301081917884209,1.516658442430788
1.5415415415415414,2.391249942440256,1.5592208406773402
1.5615615615615615,2.467135063351238,1.571388956671792
1.5815815815815815,2.534910944829812,1.5697321439174112
1.6016016016016015,2.604292786210918,1.5943493409562441
1.6216216216216217,2.709178626849792,1.613407754829378
1.6416416416416417,2.770080280672978,1.6326123698607715
1.6616616616616617,2.844605803780734,1.6655111713227204
1.6816816816816818,2.9070536437128394,1.6812740564203275
1.7017017017017018,2.975079692910001,1.7061624237165225
1.7217217217217218,3.049705552965358,1.7094656640840493
1.7417417417417418,3.1136672481159717,1.743467620918963
1.7617617617617618,3.2139358313781914,1.763361677897496
